Hankija ettevote,Hanke nimetus,Hankemaksumus EUR
NJ,Valgusti seadmete ostmine,13035
ER,Terastoodete ostmine.,13022
ER,Kompensaatorite ostmime,13017
ER,Drenaa�ipump.Ostmine,13003
ER,Veoteenuse osutamine,13003
NJ,Varuosade valmistamine,13003
NJ, KAESER varuosade ostmine,12969
ER,Teraslehe 40 S355J2 ostmine,12948
NJ,Terastoodete ostmine,12945
NJ,Control valve C15-RAA025AS Id code nr.C0042825 (Metso Automation) - 2 tk,12941
NT,Kompensaatori GA01-E001 valmistamine,12934
ER,Filtrite ja kassettide ostmine,12910
ER,Mooteseadme ost,12900
NJ,Polumeeri Superfloc A-150 PWG ostmine,12900
NJ,Keemiliste reagentide ostmine,12900
ER,Turvakonks ketilekinnitusega. Ostmine,12889
ER,Tooriistade ostmine,12887
ER,Kinnitusvahendid. Ostmine.,12881
NJ,Pressure transmitters PMD75 (Endress+Hauser),12873
NT,Luukide valmistamine,12866
NT,Maardeainete ost,12856
NT,Metalltoodete valmistamine,12852
NJ,Keemilise reagentide ostmine,12819
ER,Elektrikomponentide ostmine,12811
ER,Elektrikomponentide ostmine,12789
NJ,olide ostmine,12778
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,12756
ER,Topend. Ostmine.,12728
NJ,Gaasi ja gaasiseadmete ostmine,12728
NJ,Laagrite ostmine,12714
ER,Vanade filterkottide valja viimine.,12687
NT,Laagrite ja SK-tihendite ostmine,12670
NT,Ehitusmaterjalide ost,12659
NJ,Sample gas pump P.2.2 ATEX-V II 2/2G cIIC T3/T4 X (Buhler) and spare parts ,12645
ER,Kraanateenuse osutamine,12632
ER,Varviseadmete ostmine,12611
ER,Terastoodete ostmine,12592
NJ,Varuosade valmistamine,12590
NJ,"Varuosade gaasianalusaatorile H2S ""SA4000 Seta-Analytics"" ostmine",21003
ER,Filtrite ostmine,20962
ER,Kinnitusvahendite ostmine,20959
NJ,Mechanical seal for pump HLJ-4003 (MAMEC) - 3 ps,20940
ER,Toruaarikute ostmine.,20897
NJ,Varuosade ostmine,20894
ER,Laagrite ostmine,20894
ER,Metalli ostmine.,20862
NJ,IT seadmete ostmine,20857
ER,Elektrikomponentide ostmine,20856
NJ,Narva tammi territooriumil asuva muru ja poosaste niitmine,20848
NJ,Tooriistainventar,20848
NJ,Elektriinstrumentide ostmine,20836
NT,Raamlepingute solmimine metallitootlemise tarvikute ja kasitooriistade ostmiseks,20829
ER,Terastoodete ostmine.,20816
NJ,Roostevaba umarmaterjali ostmine,20813
ER,Eriteraste ostmine,20812
ER,Killustiku aluse tegemine.,20802
NJ,Laagrite ostmine,20782
ER,Keemiatoodete ostmine,20781
NJ,Laagrite ostmine,20779
NJ,Valve regulated lead acid battery 12V - 106tk,20755
NJ,Seadmete Endress+Hauser ostmine,20743
ER,Kaablikandesusteemid MEKA.Ostmine,20732
ER,Kaablikandesusteemid MEKA.Ostmine,20730
NS,Veohaagise ostmine,20721
ER,Teraste ostmine,20682
ER,Elektrikomponentide ostmine,20665
NJ,Gaaside ostmine,20664
NJ,Gaaside ostmine ,20664
NT,Drenaa�rennide kanalisatsioonisusteemi rajamise tooprojekti valjatootamine ENEFIT 280 kondensatsioonijaoskonna vallituse betoonaluses margil 0.00. Eesti Energia olitoostus AS,20664
ER,Rehvide ostmine,20664
NJ,Varuosade valmistamine,20664
NJ,Varuosade valmistamine,20664
NJ,Varuosade valmistamine,20664
ER,Terastoodete ostmine,20658
ER,Scale HEIDENHAIN ,20634
NJ,Flow meter design V7B6. type BM26 (Krohne) -1 tk,20630
NJ,Laagrite ostmine,20623
NJ,Elektritooriistade ostmine,20618
ER,Metall.Ostmine,20607
ER,Saematerjalide ja aluste ostmine,20586
NJ,Vibration control type HE100.00.16.00.00.00.000 art.10935 (Hauber Elektronik) - 4 tk,20572
NT,Metallide ostmine,20572
ER,Mahutipohja ostmine,20549
NJ,Laagrite ostmine,20540
NJ,Lamtec seadmete ostmine,20538
NJ,Pumpade VD200-90A varuosade ostmine,20457
ER,Metall.Ostmine,20440
NJ,Cartridge Assembly type CARTEX- (Burgmann). 2 tk,20434
NT,Lauptihendi rongaste ost,20434
ER,Vee seiremootmiste teostamine,20427
ER,Trafooli ostmine,20388
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,20362
ER,Aspiratsioonitoru (Prugitoru) ostmine.,20325
NJ,Varuosade valmistamine,20320
NJ,Varuosade valmistamine,20308
NT,Isikukaitsevahendite ost,20299
ER,Elektrikomponentide ostmine,20289
ER,Operaatori paneeli Simatic HMI TP1200 ostmine,20287
ER,Terastoodete ostmine,20251
NJ,Eesti elektrijaama vee keemilise puhastuse osakonna kilbiruumi puhketoa sisseehitatud moobli remont,20251
ER,Elektrikomponentide ostmine,20246
ER,Kuulkraanide ostmine,20228
EK,Vagunite detailide ostmine,20205
NJ,EE Narva Elektrijaamade AS keemialabori firma PALL Corporation energeetiliste olide puhtusklassi automaatanalusaatori PCM 400 W kalibreerimine ja revisjon,20205
NT,Metalltoodete valmistamine,20205
ER,Elektrikomponentide ostmine,20204
NJ,Rosemount,20186
NJ,Tookinnaste ostmine,20182
NJ,Elektrikapi ostmine,20166
ER,Elektrikomponentide ostmine,20140
ER,Teraste ostmine.,20113
NJ,Rehvide ostmine ,20113
NT,Metalltoodete valmistamine,20107
ER,Tooriistade ostmine,20098
NJ,Varuosade valmistamina,20090
ER,Elektrikomponentide ostmine,20076
NJ,Kinnitusvahendid. Ostmine.,20037
ER,Elektrikomponentide ostmine,20028
NJ,Laagrite ostmine,20021
ER,Kinnitusvahendid. Ostmine.,20020
ER,Elektrikomponentide ostmine,19984
NJ,Varuosade valmistamine,19979
NJ,Varuosade valmistamine,19975
ER,Laagrite FAG ostmine.,19971
NT,Elektrivahendite ost,19961
NJ,Varuosade valmistamine,19918
NJ,DPDT relay FEM54 19-253VAC. code 52026499 (Endress+Hauser) - 5 tk,19913
NJ,Killustikkude fr.16-32 ostmine,19889
NJ,Konteinerite ostmine,19883
ER,Elektrikomponentide ostmine,19878
ER,Tsingitud leht 0.5. Ostmine,19860
NJ,Sulgearmatuuri ostmine ,19838
EK,Rahvusvaheliselt avaldatavate muugikuulutuste teenuse ostmine (II kord),19837
NJ,Varuosade valmistamine,19803
ER,Elektrikomponentide ostmine,19796
ER,Kovasulamplaatide ostmine,19764
NJ,Kaablite ostmine. 1000m+500m,19746
ER,Elektrikomponentide ostmine,19718
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,19707
ER,Tooriistade ostmine,19674
ER,Kinnitusvahendid. Ostmine.,19672
NT,Kontroll ja motteseadmete ost,19662
NJ,Manomeetrite ostmine. 140 tk,19631
ER,Kinnitusvahendite ostmine,19594
ER,Talveriided. Ostmine.,19589
NJ,Anduri Trafag ostmine,19576
ER,Elektrikomponentide ostmine,19563
EK,Sildkraanade kabiinide akende vahetus - (II kord),19516
EE,Tootsi tuulepargikompleksi ehitamise algus,19516
EE,Ruhnu taastuvenergia lahenduse valjatootamine. II etapp,19496
ER,Kovasulamplaatide ostmine,19447
ER,Pro�ektorite ostmine,19444
ER,Tooriistade ostmine,19413
NJ,Flow regulator valve - sight feed pos.342 for pump (Flowserve) - 2 tk,19401
ER,Elektrikomponentide ostmine,19392
NJ,Rullide ostmine (Bosch Rexroch),19387
NJ,Reduktori ?2-400-20-12-?3 ostmine,19378
ER,Metall.Ostmine,19370
ER,Keevitustarvikute ostmine,19333
ER,Keevitustarvikute ostmine,19328
NJ,Sisseehitatud elektriline ajam joon.822-?-0 - 2 tk,19286
ER,ulegabariidilise veoteenuse ostmine,19286
NJ,Varuosade valmistamine,19286
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,19284
ER,Vaktsiini ostmine puukentsefaliidi vastu ,19278
ER,Reduktorite ostmine,19263
ER,Terase 34CrNiMo6 QT ostmine.,19206
ER,Terastoodete ostmine,19181
ER,Teraste ostmine,19172
ER,Ehitusmaterjalid. Ostmine,19130
NJ,Pressure transmitters Cerabar S PMP71 (Endress+Hauser),19106
NJ,Laagrite ostmine,19103
ER,Lehtmetall. Ostmine.,19050
ER,Keevitustarvikute ostmine,19029
ER,Laagrite ostmine,19025
ER,Keevisvorgu ostmine.,19011
ER,Laagrite ostmine,18997
ER,Dokumentatsiooni tolketeenus inglise keelest soome keelde,18965
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,18950
NJ,Reduktor with motor 0.25kW ,18942
NT,Tulekindlate plaatide ost,18942
ER,Projekteerimisteenuse osutamine,18942
ER,Transporditeenuse ostmine,18942
NT,Tihendi materiali ost,18942
ER,Teraste S355J2+N ja Hardox400 ostmine.,18914
ER,Elektrikomponentide ostmine,18901
NJ,Seadmete Burkert ostmine,18873
ER,Isikukaitsevahendite ostmine,18849
ER,Elektrikomponentide ostmine,18840
NJ,Seadmete FW MURPHY ostmine,18827
ER,Elektrikomponentide ostmine,18801
NJ,Varuosade valmistamine,18773
EK,Hudroseade komplekti ostmine,18737
NJ,Kuumakindla torude ostmine ,18735
ER,Isikukaitsevahendite ostmine ,18728
ER,Elektrikomponentide ostmine,18676
ER,Vineer ja laud.Ostmine,18634
ER,Keevitustarvikute ostmine,18620
ER,Isikukaitsevahendite ostmine,18618
ER,Elektrikomponentide ostmine,18617
ER,Segugaasi ostmine,18606
NJ,Seadmete Endress+Hauser ostmine,18586
ER,Terastoodete ostmine,18568
ER,Keevisrestide ja astmete ostmine,18562
ER,Emaili KO-983 ostmine,18529
ER,Keevitustarvikute ostmine,18489
ER,Tostetarvikute ostmine,18483
ER,Terase S235JR ostmine.,18483
NS,Eelisoleeritud terastorude ja lisatarvikute ostmine,18447
ER,Terastoodete ostmine,18418
NT, Laagrite ja laagrimaare ost,18414
NJ,Laagrite ostmine,18414
NJ,Airborne soundpressure sensor Z20167. Softline cable type 1652A (Kistler) ,18391
EK,Veduri valvsuse kontrolli seadmete ja valgussignalisatsiooni ploki ostmine,18368
NJ,Narva tammi territooriumil asuva muru ja poosaste niitmine. ,18368
NJ,Break alarm 30a sensor PCB code SPA030-SB (PCME) - 4 tk,18368
NJ,Vibraator IV-107A 380V - 5 tk,18368
NJ,Varuosade valmistamine,18368
ER,Metallkonstruktsioonide varvimise teenuse osutamine,18357
ER,Teraste S235JR ja S355JR ostmine.,18354
ER,Emaili KO-983 ostmine,18348
ER,Keevitustarvikute ostmine,18345
EK,Gaasianalusaatorite ostmine,18345
ER,Elektrikomponentide ostmine,18342
NJ,Elektromotoor 15kW ja motoor-reduktor (SIEMENS),18322
NJ,ACS880-01-017?-3 (ABB) - 2 tk,18316
ER,Susinikteraste ostmine,18311
NJ,Polt 3D 41.08-5 - 1000 tk,18253
EK,Kaugkontrolli seadmete ostmine,18253
NJ,Motorstarter MNS iS. code 1TGE106110A4001 (ABB) - 2 tk,18253
NT,Toostuskeemia ost,18233
NJ,Veoautode rehvide ostmine,18230
NJ,Varuosade KNF Nuerberger ostmine ,18213
NJ,Varuosade ostmine,18184
ER,Terastoodete ostmine,18184
NT,Kaitsevahendite ost,18173
NJ,Laagrite ostmine,18154
ER,Elektrikomponentide ostmine,18148
NJ,Enefit Energiatootmine AS-i olitootmine ja Eesti Elektrijaama administratiivhoonete energiaauditite ja energiamargise valjastamine,18138
NJ,Varuosad UV-seadmele ,18138
NJ,Sukelpumba ostmine ,18138
NJ,Andur SET/DM3 5m kaabliga (Labkotec) - 6 tk,18115
NJ,Laagrite ostmine,18111
NJ,Valgusti seadmete ostmine,18095
ER,Elektrikomponentide ostmine,18091
ER,Elektrikomponentide ostmine,18078
NJ,Sulgearmatuuri ostmine,18059
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,18053
ER,Laagrite ostmine,18047
ER,Tostetarvikute ostmine,18024
NT,Metalli ostmine ,18024
ER,Filtride ostmine,18001
ER,Roostevaba lehtteras. Ostmine.,17928
NJ,Varuosade valmistamine,17909
NJ,Varuosade valmistamine,17909
NJ,Laagrite ostmine,17909
NJ,Digital transmitter for pressure meter Media 6. code 5006-101009010000.01 (Samson) ,17897
NJ,Laagrite ostmine,17882
ER,Elektrikomponentide ostmine,17849
NJ,JAQUET seadmete ostmine,17840
EE,Poordklapide ostmine (4 tk),17817
ER,Elektrikomponentide ostmine,17813
ER,Raamlepingu solmimine rahvusvaheliste standardsete autovedude ostmiseks.,17794
ER,Terase 1.4841 ja S235JR ostmine.,17794
NJ,Varuosade valmistamine,17794
ER,Metalli ostmine,17792
ER,Keevisrestide ostmine,17768
ER,Raamlepingu solmimine patareide ja vaikeakude ostmiseks.,17762
NT,Mahuti ????-? mahuga 12000 m3 kalibreerimine,17750
ER,Kasitooriistade ostmine,17724
ER,Elektrikomponentide ostmine,17697
ER,Profiilpleki ostmine.,17684
NJ,Solenoid valves  and pressure switches (Norgren Herion),17633
NJ, Etuulpiirituse ostmine,17633
NJ,Vibration sensor for motor bearing typ 640.16.000.0 0...16mm/s art.10034 (Hauber Elektronik) - 5 pcs / without cable,17622
ER,Keevitatavate D-aasade ostmine,17610
ER,Keevitustarvikute ostmine,17607
ER,Laagrite ostmine,17592
NJ,Voolikute ostmine ,17587
ER,Autokallurite teenuse osutamine,17560
NT,Ehitusmaterjalide ost,17551
NJ, Etuulpiirituse ostmine,17496
NJ,"Laagrite ostmine, Laagrite ostmine",17496
NT,Puhvertoiteallikase ost,17489
NJ,olide ostmine,17488
NT,Labori seadmete ost,17474
NJ,Varuosade KAESER ostmine,17470
ER,Keevitustarvikute ostmine,17461
NJ,Eesti ja Balti Elektrijaamade tuhavaljade jarelevalveteede jaatumisvastane puistamine,17450
NJ,Laagrite ostmine,17450
NJ,Keevitustarvikute ostmine,17442
ER,Metalli ostmine (torud. poognad. kolmikud.uleminekud. aarikud),17439
NJ,Enefit Energiatootmine AS gaasipuhastuslabori  akrediteerimine,17436
NJ,Kaabel,17427
ER,Elektrikomponentide ostmine,17415
ER,Rohuregulaatori ostmine,17381
EK,Veduri kutusemooturi ostmine koos paigaldusega,17378
ER,Tooriistade ostmine,17374
NJ,Varuosade valmistamine,17358
NT,Roostevaba umarterase ost,17335
ER,Kinnitusvahendid. Ostmine.,17325
NJ,Eesti elektrijaama kesklao lao nr 9 valjatombeventilatsiooni susteemis elektriajamiga drosselohuklappide paigaldamine deflektorite kanalisse,17312
ER,Distantsioonside protsessoriga ostmine,17289
NJ,Aktiivsoe  ostmine ,17277
ER,Elektrikomponentide ostmine,17250
ER,Tooriistade ostmine,17233
NJ,Muru ja poosastiku uhekordne niitmine Eesti ja Balti elektrijaama territooriumidel,17220
NJ,Varuosade ostmine,17220
EK,Joukaabli ostmine,17220
EK,Laava kinnistu varingu likvideerimistoode teostamine,17220
EK,Kaubavagunite leevendusaparaatide ostmine,17220
NJ,Generatoori hari Carbone Lorraine LFC554 32x40x80 - 60 tk,17220
NT,Belting BF-110 ostmine,17220
ER,Elektrikomponentide ostmine,17220
ER,Elektrikomponentide ostmine,17192
ER,Kovasulamplaatide ostmine,17187
NJ,Kaitseklapi vedru ostmine,17186
ER,Elektriline kett-telfer. Ostmine.,17163
ER,Magnetpuurmasinate ostmine,17149
NT,SAMSON ELEKTRO-PNEUMATILINE AKTUAATORI OST,17128
ER,Elektrikomponentide ostmine,17123
NJ,Mooteseadme ostmine,17074
ER,Fluoroplasti  ostmine,17071
ER,Elektrikomponentide ostmine,17069
ER,Metalli ost,17065
ER,Teraste ostmine.,17059
ER,Elektrikomponentide ostmine,17050
NJ,Laagrite ostmine,17048
ER,Kovasulamplaatide ostmine,17048
ER,Keevisrestide ja astmete ostmine,17008
ER,Laagrite ostmine,17000
ER,Elektriprojekteerimisteenuse osutamine,16990
NJ,Tooriistakapi ostmine,16990
ER,Transporditeenuse osutamine (Johvi.EE - Lugde.DE),16990
ER,Terashaavlite ostmine,16990
ER,Terashaavlite ostmine.,16990
ER,Terashaavlite ostmine.,16990
ER,Autokraanateenuse ostmine,16990
ER,Terastoodete ostmine,16967
NJ,Cards for actuators AUMA,16944
ER,Tooriistade ostmine,16924
NJ,Remondikomplekt pumbale 4?? 50/50-11-5-?2 - 10 kompl,16876
NT,Kivivilla ostmine,16876
ER,Puitmaterjalide ostmine,16874
ER,Terastoodete ostmine,16873
ER,Elektrikomponentide ostmine,16848
ER,Keevitustarvikute ostmine,16840
NJ,Temperature transmitter TR10-ABE1BHSEKA00A +TZ2. L: 220mm. thread G1/2''. 0 -250�C (Endress+Hauser) - 4 tk,16828
ER,Elektrikomponentide ostmine,16819
EE,Polevkivioli analuuside teostamine ,16807
ER,Elektrikomponentide ostmine,16801
NJ,Pressure swiches LPD. LPS (ASHCROFT),16786
NJ,Balti Elektrijaama toostusplatsi nr 3 hoone elektritookoja ventilatsioonikaikude demonteerimine,16761
NJ,Varuosade Murtac ostmine,16761
ER,Elektrikomponentide ostmine,16682
ER,Atlas Copco trassifiltri elementid. Ostmine.,16672
ER,Elektrikomponentide ostmine,16672
ER,Kinnitusvahendid. Ostmine.,16669
NJ,NUKAF-pumba vundamendi laiendustood pumba ?-100-80 paigaldamiseks Eesti Elektrijaama keemilise veepuhastuse filtrisaalis,16646
ER,Varuosade ja uleminekute ostmine.,16638
ER,Metall,16635
NT,Fieldvue Fisher Design GX positsioneeri ost,16631
ER,Elektrikomponentide ostmine,16630
ER,Keevitustarvikute ostmine,16609
ER,Kovasulamplaatide ostmine,16606
ER,Tooriistade ostmine,16588
ER,Terastoodete ostmine.,16549
ER,Teraste ostmine.,16531
ER,Elektrikomponentide ostmine,16516
ER,Keevitustarvikute ostmine,16503
ER,Portatiivne ohupuhasti Mobiflex 100-NF,16497
NJ,Metallide ostmine ,16489
ER,Keevitustarvikute ostmine,16482
ER,Polukarbonaadi ostmine,16479
ER,Elektrikomponentide ostmine,16471
NJ,Laagrite ostmine,16444
NJ,Gripi vastase vaktsiini ostmine,16436
NJ,Manometers 160mm. 90 tk,16408
NT,Liitmikute ostmine,16393
ER,Tugikonstruktsioonide varvimise teenuse osutamine,16382
NJ,Varuosade valmistamine,16366
ER,Elektrikomponentide ostmine,16327
ER,Elektrikomponentide ostmine,16263
ER,Kovasulamplaatide ostmine,16238
ER,Teraste ostmine.,16233
NJ,Pumpade varuosade ostmine. Allwieler ,16233
NT,Tostevahendite ost,16221
NJ,Tihendilehte ostmine,16216
NJ,"Laagrite ostmine, Laagrite ostmine",16205
NT,Sisepindade margpuhastusteenuse osutamine Enefit140 surohupuhuri hoone 2-s ruumis,16187
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,16186
ER,Elektrikomponentide ostmine,16178
NJ,Valve PVXB262A134E.24/DC.22284 (Asco) - 4 pcs,16164
ER,Tooriistade ostmine,16155
NJ,Laagrite ostmine,16143
NJ,Plate SME5 Getec K839-001 10237 11/26 for Oxitec 5000 (Enotec),16129
EK,Ekskavaatorite kabiini uste vahetus,16129
NT,Purustivasara telje valmistamine,16072
EK,Raudbetoontoodete demontaa�i ja purustamisteenuse ostmine,16072
ER,Terashaavlite ostmine,16072
NT,KUMMI- JA TIHENDITOODETE OST,16072
ER,Terashaavlite ostmine,16072
ER,Terashaavlite ostmine.,16072
ER,Teraspoogen DN700. Ostmine.,16072
ER,Elektri telfer.Ostmine,16061
NJ,Varuosade valmistamine,16049
ER,Vaskkaabli ja emailtraadi ostmine.,16048
NJ,Toru varuosade ostmine ,16026
NJ,Laagrite ostmine,16009
ER,Autokallurite teenuse osutamine,16008
ER,Elektrikomponentide ostmine,16008
ER,Keevitustarvikute ostmine,16007
NJ,Elektrhari AG20/LFC554 8x20x32mm - 50 tk,16003
ER,Elektrikomponentide ostmine,16001
ER,Elektrikomponentide ostmine,15995
NJ,Metallide ostmine ,15980
ER,Metalli ostmine,15970
NT,Elektrivahendite ost,15960
ER,Manitou MT1440 hooldus_2. ,15957
ER,Laagrite ostmine,15957
ER,Autokraanateenuse osutamine,15957
ER,Autokraanateenuse osutamine,15957
NJ,Eesti Elektrijaama tsirkulatsioonipumpla nr 1 tsirkulatsioonipumba 2??-? labade  mehha-nismi remondi tuukritood,15957
NJ,Ex position switches. 6+8 tk,15923
NJ,Seadmed SIEMENS,15917
NJ,Laagrite ostmine,15913
NJ,5331A3B temperature transmitter (PR Electronics)  - 40 tk,15898
ER,Emailtraadi ostmine,15888
NJ,Varuosade valmistamine,15842
ER,Tooriistade ostmine,15836
ER,Spirax maare ostmine,15836
ER,Metall. Ostmine,15830
NJ,Thermistor. flow cell code N3010-170C for Aqualyzer 9032 (Waltron) SN 330027,15819
ER,RV ankrud. Ostmine.,15819
ER,Varvid Teknos ostmihe,15803
NJ,olimahuti kalibreerimine,15788
NT,Filtrimaterjalide ost,15769
NJ,Traktori rehvide ostmine ,15760
NJ,Valgusti seadmete ostmine,15757
NT,Lukksepatooriistade ostmine,15751
NT,Lukksepatooriistade ostmine,15741
ER,Tooriistade ostmine,15735
NJ,Varuoasad KAESER,15730
NJ,Keevitusvahendite ostmine,15729
EK,Turba kasipuuri ostmine,15728
ER,Geodeetiliste toode teostamine,15728
NJ,Killustiku fr.16-32 ostmine,15705
ER,Teraste ostmine.,15682
NJ,Laagrite ostmine,15660
NJ,Sulgearmatuuri ostmine,15659
ER,Tooriistade ostmine,15641
NT,Lukksepatooriistade ost,15625
NJ,Thermometer PFH 5409 (Herten) -16 tk,15613
NJ,Termomuundur TT05 (Tekon) - 40 tk,15613
NJ,Varuosade valmistamine,15613
NJ,Varuosade valmistamine,15613
NJ,Pressure transmitter APR-2000/ALW/ 0�2.5 bar/C/PTFE (Aplisens) - 3 tk,15606
ER,Keevitustarvikute ostmine.,15585
ER,Manitou MT1440 hooldus,15582
NJ,Varuosade DANFOSS BAUER ostmine,15578
ER,Keevitustarvikute ostmine,15574
NJ,Varuosad NEDERMAN,15544
ER,FFP3 respiraatorite ostmine,15498
ER,Gaasilaaduri rentimine.,15498
NJ,Tsentreerimisseadme TKSA 41 remonditood ja kalibreerimine,15498
ER,Teraslehe S355J2 ostmine.,15429
NT,Metalli ostmine,15429
NJ,Varuosade valmistamine,15429
ER,Metalli ostmine,15403
ER,Keevisvorgu ostmine.,15388
NJ,Varuosade valmistamine,15383
NJ,Manual motor starter WM REV MO325-A9 6E/4 (ABB)- 2 tk,15381
NJ,Laagrite ostmine,15372
NJ,Laagrite ostmine,15354
ER,oli Spirax S4 ATF HDX. Ostmine.,15336
NJ,VMP-10 varuosade ostmine,15309
NJ,Keevitusvahendite ostmine,15302
ER,Terastoodete ostmine,15294
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,15283
NJ,Laagrite ostmine,15279
ER,Elektrikomponentide ostmine,15276
ER,Elektrikomponentide ostmine,15273
NT,ombluseta toru 323.9x10mm ost,15268
ER,Keevitustarvikute ostmine,15267
ER,Keevitustarvikute ostmine,15266
NJ,Laagrite ostmine,15245
NT,Isikukaitsevahendite ost,15204
NJ,Analoogilahtisidumine  (Schuhmann Messtechnik) -6 tk,15200
NJ,Varuosade AS-Shneider ostmine,15188
NT,Keevitusvahendite ost,15182
ER,Siugtoru valmistamine,15177
ER,Liiv.Ostmine,15154
NJ,Varuosade valmistamine,15154
NT, Elektrivahendite ost,15134
ER,Elektrikomponentide ostmine,15129
ER,Elektrikomponentide ostmine,15121
NJ,Valve type PVXB ASCO - 6 tk,15118
ER,Keevitustarvikute ostmine,15101
ER,Varvide ostmine.,15098
ER,Tooriistade ostmine,15083
ER,Ehitusmaterjalid. Ostmine,15068
ER,Elektrikomponentide ostmine,15062
NJ,Lukksepatooriistade ostmine,15047
NJ,Geared AC Motor. code 82334954 (Crouzet) - 20 tk,15039
ER,Elektrikomponentide ostmine,15037
ER,Terase Hardox500 ostmine.,14997
NJ,Sulgearmatuuri ostmine,14970
ER,Elektrikomponentide ostmine,14952
NJ,Kulgu tammi remondi ja hooldustood,14924
NJ,Balti elektrijaama kompressorihoone elektripaigaldiste kontroll Seadmete ohutuse seaduse nouete taitmiseks,14924
ER,Kraanakaalu ostmine,14924
ER,Veoteenuse ostmine Omutninsk.RU - Johvi. EE,14924
NJ,Sensori SA4000-201 tarne. paigaldus ja seadistus analusaatorile H?S �SA4000-2. Seta-Analytics�,14924
NJ,Laagrite ostmine,14924
NJ,"Pump NSFB 25/30 0with valve  (OOO PKP ""MITO"")",14913
ER,Elektrikomponentide ostmine,14882
ER,Elektrikomponentide ostmine,14880
NT,Purustaja hammeri telgi valmistamine,14878
EE,Iru elektrijaama JPP katla labipuhe ventiiilide pneumoajamite tarne,14871
ER,Metallitootlemise tarvikute ja kasitooriistade ostmine,14832
ER,Terastoodete ostmine,14813
NT, Gaasianalusaatori OKSID 111 varuosade ostmine,14809
NJ,Elektritooriistade ostmine,14800
ER,Keevitustarvikute ostmine,14796
NJ,Gaaside ostmine ,14781
ER,Keevitusmaterjalide ostmine,14763
NJ,Kummi- ja tihenditoodete ostmine,14763
ER,Vanametalli muumine,14761
NJ,Akuketassae ning ketaste ostmine,14760
ER,Keevitustarvikute ostmine,14734
ER,Varvitud pleki ja kergtala ostmine.,14706
ER,Terase S235JR ostmine,14706
NT,Veoauto talverehvide ostmine,14694
ER,Saematerjalide ostmine,14694
NJ,Pump X-100-80-160 (Plasma Company) - 1tk,14694
ER,Elektrikomponentide ostmine,14682
NJ,Rullikute ostmine,14661
NJ,Traktori T-170 varuosade ostmine ,14652
EK,Tostekraani ostmine,14648
ER,Keevitustarvikute ostmine,14646
ER,Elektrikomponentide ostmine,14643
NJ,Keemilise reagentide ostmine,14637
ER,Armatuur .Ostmine,14606
NJ,Vooluvotturite ostmine,14603
NJ,Keevitustarvikute ostmine,14594
NJ,Laagrite ostmine,14584
NJ,Pressure transmitter Deltabar S PMD75 (Endress+Hauser) 2 tk,14569
NT,Treipingi lunetti 1M63 ost,14552
NJ,Eesti Elektrijaama uld-abihoone (uhekorruselise osa) katusele viiva metallist redeli valmistamine ja paigaldus,14549
ER,Keevitustarvikute ostmine,14547
ER,Kovasulamplaatide ostmine,14533
NJ,Lukksepatooriistade ostmine,14528
NJ,Varuosade valmistamine,14511
NJ,Hudromootori remondikomplekti ostmine ,14498
NJ,Laagrite ostmine,14497
ER,Terastoodete ostmine,14492
NJ,Tulekindlate seadmete valmistamine,14465
NJ,MUVP varuosade komplekt,14465
ER,Filtrite ostmine,14465
NJ,Varuosade valmistamine,14465
NJ,Laagrite ostmine,14465
NJ,Tooriistade ostmine,14455
NJ,Elektrimaterjalide ostmine,14445
ER,Uksed.Ostmine,14442
NJ,Mooteriistade ostmine,14442
NJ,Balti Elektrijaama transformaatorite tootlemisplatsil asuvate seadmete teisaldamine,14430
ER,Kinnitusvahendid. Ostmine.,14427
ER,Kuulkraanide ostmine,14419
ER,Kaitsevahendite ostmine,14414
NT,Lukksepatooriistade ost,14390
NJ,Generatoori hari Morgan Grade 634 32x40x80 - 50 tk,14350
ER,Dokumentatsiooni tolketeenus inglise keelest soome keelde,14350
NJ,Gaasidetektori ostmine,14350
ER,Puurseadme teenuse ostmine.,14350
ER,Elektrikomponentide ostmine,14344
ER,Laagrite ostmine ,14335
NJ,Reduktor GS125.3-F16-N (Auma) - 2 tk,14327
ER,Lint- ja ketttropid. Ostmine,14326
NJ,Siltide ostmine ,14317
ER,Elektrikomponentide ostmine,14297
ER,Ehitusvill Isover.Ostmine,14278
NJ,Laagrite ostmine,14271
ER,Tooriistade ostmine,14268
NJ,Traktori Valtra-Valmet varousade ostmine,14267
ER,Keevisrestide ostmine,14255
NJ,Mooteseadme ostmine,14254
NJ,Endress+Hauser seadmete ostmine,14239
ER,Veoteenuse osutamine,14235
NJ,Solenoid valve 2622001000000000 24VDC (Norgren Herion) - 20 tk,14235
ER,Keevitustarvikute ostmine,14228
ER,Elektrikomponentide ostmine,14201
ER,Metalli ostmine,14178
ER,Keevitustarvikute ostmine,14175
